date,A,B
2007-01-01,0,0
2007-01-02,0.4,4.6
2007-01-03,0.4,0
2007-01-04,0,12
2007-01-05,0,0
2007-01-06,0.2,0.6
2007-01-07,0,0
2007-01-08,0,0
2007-01-09,0,2.6
2007-01-10,4.4,0
2007-01-11,0,0
2007-01-12,0,0
2007-01-13,0,0
2007-01-14,0,0
2007-01-15,0,0
2007-01-16,0,0
2007-01-17,3.8,1.8
2007-01-18,8.6,2.4
2007-01-19,0,0
2007-01-20,0,0
2007-01-21,0,0.8
2007-01-22,0.2,0
2007-01-23,0,0
2007-01-24,0.6,0
2007-01-25,16.4,2.8
2007-01-26,0.4,0
2007-01-27,5.2,2.2
2007-01-28,3.6,6
2007-01-29,0,0
2007-01-30,0,0
2007-01-31,0,0
2007-02-01,0,0
2007-02-02,2.2,5
2007-02-03,0,0
2007-02-04,0,1.4
2007-02-05,0.2,0
2007-02-06,0,0
2007-02-07,0,0
2007-02-08,0,0
2007-02-09,0.6,4
2007-02-10,5.6,0
2007-02-11,0,0
2007-02-12,0,0
2007-02-13,0,0
2007-02-14,0,0
2007-02-15,1,0
2007-02-16,5.8,7.6
2007-02-17,0,0
2007-02-18,0,0
2007-02-19,0,0
2007-02-20,3,4
2007-02-21,17.4,46.6
2007-02-22,7.4,8
2007-02-23,2,0
2007-02-24,1.6,0
2007-02-25,0,0
2007-02-26,0,0
2007-02-27,0,0
2007-02-28,0,0
2007-03-01,0.4,0
2007-03-02,1.8,0
2007-03-03,0.8,0.6
2007-03-04,0,0
2007-03-05,0,0
2007-03-06,0,0
2007-03-07,0.6,0
2007-03-08,9.4,8.2
2007-03-09,0,17.6
2007-03-10,3,2.2
2007-03-11,0,1
2007-03-12,0,0
2007-03-13,0,0
2007-03-14,0.2,0
2007-03-15,0,0
2007-03-16,0,0
2007-03-17,0,0
2007-03-18,0,0
2007-03-19,0.2,0
2007-03-20,3.4,6
2007-03-21,1.4,2.2
2007-03-22,0,0
2007-03-23,3.4,3
2007-03-24,0,1
2007-03-25,0,0
2007-03-26,0.8,6.8
2007-03-27,0,0
2007-03-28,29,10
2007-03-29,0.2,42.4
2007-03-30,2,1
2007-03-31,0,0
2007-04-01,0,0
2007-04-02,0.8,6.6
2007-04-03,0.4,0
2007-04-04,0,0
2007-04-05,0.2,0
2007-04-06,0,0
2007-04-07,0,0
2007-04-08,1,1
